keyword,count,freq
access,10,0.5555555555555556
accordance,11,0.6111111111111112
account,11,0.6111111111111112
acquisition,7,0.3888888888888889
action,11,0.6111111111111112
activity,11,0.6111111111111112
adherence,8,0.4444444444444444
administration,7,0.3888888888888889
agent,7,0.3888888888888889
alarm,11,0.6111111111111112
alert,6,0.3333333333333333
algorithm,8,0.4444444444444444
amount,6,0.3333333333333333
analysis,8,0.4444444444444444
apparatus,9,0.5
application,11,0.6111111111111112
area,9,0.5
aspect,9,0.5
assessment,11,0.6111111111111112
assistance,7,0.3888888888888889
association,9,0.5
attribute,7,0.3888888888888889
base,6,0.3333333333333333
basis,7,0.3888888888888889
blood,8,0.4444444444444444
body,9,0.5
brain,8,0.4444444444444444
camera,9,0.5
cancer,7,0.3888888888888889
candidate,11,0.6111111111111112
capture,8,0.4444444444444444
care,11,0.6111111111111112
caregiver,11,0.6111111111111112
case,8,0.4444444444444444
cause,11,0.6111111111111112
cell,8,0.4444444444444444
change,7,0.3888888888888889
circuit,8,0.4444444444444444
circuitry,9,0.5
claim,7,0.3888888888888889
classification,7,0.3888888888888889
client,8,0.4444444444444444
cloud,8,0.4444444444444444
code,7,0.3888888888888889
collection,8,0.4444444444444444
combination,8,0.4444444444444444
command,11,0.6111111111111112
communication,11,0.6111111111111112
comparison,8,0.4444444444444444
compliance,11,0.6111111111111112
component,11,0.6111111111111112
computer,9,0.5
condition,8,0.4444444444444444
configuration,11,0.6111111111111112
connection,8,0.4444444444444444
contact,11,0.6111111111111112
container,9,0.5
content,9,0.5
context,10,0.5555555555555556
contrast,8,0.4444444444444444
control,11,0.6111111111111112
controller,7,0.3888888888888889
cost,10,0.5555555555555556
criterion,8,0.4444444444444444
data,11,0.6111111111111112
database,11,0.6111111111111112
dataset,7,0.3888888888888889
decision,11,0.6111111111111112
delivery,7,0.3888888888888889
detection,7,0.3888888888888889
detector,8,0.4444444444444444
determination,7,0.3888888888888889
determine,11,0.6111111111111112
device,10,0.5555555555555556
diagnosis,10,0.5555555555555556
disclosure,9,0.5
disease,8,0.4444444444444444
disorder,8,0.4444444444444444
dispenser,6,0.3333333333333333
display,9,0.5
distribution,8,0.4444444444444444
document,6,0.3333333333333333
dosage,9,0.5
drug,10,0.5555555555555556
effect,8,0.4444444444444444
electrode,9,0.5
element,8,0.4444444444444444
embodiment,11,0.6111111111111112
emergency,9,0.5
end,11,0.6111111111111112
energy,8,0.4444444444444444
engine,8,0.4444444444444444
entity,6,0.3333333333333333
entry,7,0.3888888888888889
environment,8,0.4444444444444444
equipment,8,0.4444444444444444
evaluation,8,0.4444444444444444
event,7,0.3888888888888889
examination,9,0.5
example,8,0.4444444444444444
exercise,9,0.5
facility,9,0.5
factor,10,0.5555555555555556
feature,7,0.3888888888888889
feedback,8,0.4444444444444444
field,8,0.4444444444444444
file,9,0.5
flow,8,0.4444444444444444
fluid,6,0.3333333333333333
food,8,0.4444444444444444
form,8,0.4444444444444444
frame,9,0.5
frequency,9,0.5
function,6,0.3333333333333333
generate,8,0.4444444444444444
generation,11,0.6111111111111112
group,7,0.3888888888888889
hand,7,0.3888888888888889
health,9,0.5
healthcare,10,0.5555555555555556
heart,8,0.4444444444444444
hospital,7,0.3888888888888889
housing,10,0.5555555555555556
identification,11,0.6111111111111112
identifier,9,0.5
identity,6,0.3333333333333333
image,8,0.4444444444444444
imaging,7,0.3888888888888889
index,7,0.3888888888888889
indication,8,0.4444444444444444
indicator,7,0.3888888888888889
information,11,0.6111111111111112
infusion,9,0.5
injection,8,0.4444444444444444
input,7,0.3888888888888889
instruction,8,0.4444444444444444
instrument,7,0.3888888888888889
insulin,8,0.4444444444444444
interaction,8,0.4444444444444444
interest,8,0.4444444444444444
interface,9,0.5
intervention,7,0.3888888888888889
invention,8,0.4444444444444444
item,8,0.4444444444444444
knowledge,7,0.3888888888888889
label,8,0.4444444444444444
language,6,0.3333333333333333
level,7,0.3888888888888889
list,9,0.5
location,11,0.6111111111111112
machine,7,0.3888888888888889
management,8,0.4444444444444444
map,8,0.4444444444444444
marker,8,0.4444444444444444
measure,11,0.6111111111111112
measurement,7,0.3888888888888889
mechanism,8,0.4444444444444444
medication,10,0.5555555555555556
medium,7,0.3888888888888889
member,8,0.4444444444444444
memory,6,0.3333333333333333
message,7,0.3888888888888889
method,8,0.4444444444444444
modality,7,0.3888888888888889
mode,9,0.5
model,7,0.3888888888888889
module,8,0.4444444444444444
monitor,11,0.6111111111111112
monitoring,11,0.6111111111111112
motion,11,0.6111111111111112
movement,7,0.3888888888888889
multi,10,0.5555555555555556
network,9,0.5
node,7,0.3888888888888889
notification,7,0.3888888888888889
number,7,0.3888888888888889
object,7,0.3888888888888889
operation,11,0.6111111111111112
order,9,0.5
outcome,9,0.5
output,8,0.4444444444444444
parameter,7,0.3888888888888889
part,7,0.3888888888888889
party,8,0.4444444444444444
patient,10,0.5555555555555556
pattern,7,0.3888888888888889
perform,9,0.5
performance,11,0.6111111111111112
period,9,0.5
person,7,0.3888888888888889
pharmacy,8,0.4444444444444444
pill,7,0.3888888888888889
pixel,9,0.5
plan,9,0.5
platform,6,0.3333333333333333
plurality,7,0.3888888888888889
point,7,0.3888888888888889
population,8,0.4444444444444444
portion,8,0.4444444444444444
position,9,0.5
power,8,0.4444444444444444
prediction,7,0.3888888888888889
prescription,11,0.6111111111111112
presence,7,0.3888888888888889
pressure,8,0.4444444444444444
probability,7,0.3888888888888889
procedure,8,0.4444444444444444
process,7,0.3888888888888889
processing,11,0.6111111111111112
processor,6,0.3333333333333333
product,7,0.3888888888888889
profile,9,0.5
program,8,0.4444444444444444
projection,8,0.4444444444444444
property,8,0.4444444444444444
protocol,11,0.6111111111111112
provide,10,0.5555555555555556
provider,10,0.5555555555555556
pump,7,0.3888888888888889
quality,8,0.4444444444444444
query,7,0.3888888888888889
question,7,0.3888888888888889
radiation,7,0.3888888888888889
range,7,0.3888888888888889
rate,7,0.3888888888888889
ray,8,0.4444444444444444
recommendation,7,0.3888888888888889
record,10,0.5555555555555556
reference,8,0.4444444444444444
region,6,0.3333333333333333
relationship,9,0.5
remote,11,0.6111111111111112
report,8,0.4444444444444444
representation,7,0.3888888888888889
request,8,0.4444444444444444
resonance,7,0.3888888888888889
resource,11,0.6111111111111112
response,7,0.3888888888888889
result,10,0.5555555555555556
risk,7,0.3888888888888889
room,8,0.4444444444444444
rule,8,0.4444444444444444
sample,7,0.3888888888888889
schedule,11,0.6111111111111112
score,7,0.3888888888888889
screen,11,0.6111111111111112
search,8,0.4444444444444444
section,7,0.3888888888888889
secure,9,0.5
security,10,0.5555555555555556
segment,8,0.4444444444444444
selection,7,0.3888888888888889
sensor,11,0.6111111111111112
sequence,10,0.5555555555555556
series,7,0.3888888888888889
server,9,0.5
service,8,0.4444444444444444
session,9,0.5
set,6,0.3333333333333333
sign,8,0.4444444444444444
signal,7,0.3888888888888889
site,8,0.4444444444444444
software,11,0.6111111111111112
source,9,0.5
space,8,0.4444444444444444
state,8,0.4444444444444444
station,9,0.5
status,11,0.6111111111111112
step,6,0.3333333333333333
stimulation,7,0.3888888888888889
storage,9,0.5
store,7,0.3888888888888889
structure,8,0.4444444444444444
study,6,0.3333333333333333
subject,9,0.5
substance,8,0.4444444444444444
support,11,0.6111111111111112
surface,9,0.5
system,11,0.6111111111111112
tag,7,0.3888888888888889
target,7,0.3888888888888889
task,7,0.3888888888888889
technique,8,0.4444444444444444
technology,8,0.4444444444444444
temperature,8,0.4444444444444444
term,7,0.3888888888888889
test,7,0.3888888888888889
text,6,0.3333333333333333
therapy,7,0.3888888888888889
time,7,0.3888888888888889
tissue,7,0.3888888888888889
tool,11,0.6111111111111112
training,8,0.4444444444444444
transaction,7,0.3888888888888889
transmission,8,0.4444444444444444
transmit,10,0.5555555555555556
treatment,10,0.5555555555555556
type,8,0.4444444444444444
unit,9,0.5
use,11,0.6111111111111112
user,7,0.3888888888888889
value,7,0.3888888888888889
vector,8,0.4444444444444444
vessel,8,0.4444444444444444
video,9,0.5
view,7,0.3888888888888889
volume,7,0.3888888888888889
wireless,11,0.6111111111111112
